Nest_ID,Día,Pro_On,Pro_Off,N_On,Month_Nest,Temp_On,Temp_Off,Pro_Nocturnal,Attenct_On
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-25,42.93333333333333,13.0625,15,May,35.11951465252856,32.84875,593.0,0.7703349282296651
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-26,43.6,12.6875,15,May,34.52264875144751,32.161875,582.0,0.7794994040524433
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-27,48.857142857142854,10.866666666666667,14,May,35.28941058738642,33.425333333333334,593.0,0.8518057285180572
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-28,39.0625,11.529411764705882,16,May,34.096870345166906,31.98705882352941,575.0,0.777363184079602
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-29,32.8,10.428571428571429,20,May,35.01044527852594,32.92619047619048,610.0,0.7672514619883041
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-30,35.05555555555556,12.210526315789474,18,May,34.93257329455051,32.63315789473684,578.0,0.7511904761904762
M_Polyglottos__ALS44_06_Control_BA_BB,2006-05-31,39.705882352941174,12.833333333333334,17,May,34.747755780105074,32.471111111111114,335.5,0.7558790593505039
M_Polyglottos__JU30_06_0,2006-06-10,17.515151515151516,10.757575757575758,33,June,36.93803268521521,34.69558823529412,581.0,0.6195069667738478
M_Polyglottos__JU30_06_0,2006-06-11,15.583333333333334,8.378378378378379,36,June,36.10047617884509,33.30108108108109,494.0,0.6485549132947976
M_Polyglottos__JU30_06_0,2006-06-12,16.083333333333332,6.8108108108108105,36,June,33.60464931026529,29.679473684210524,241.0,0.491928632115548
M_Polyglottos__JU30_06_0,2006-06-13,19.970588235294116,5.285714285714286,34,June,34.036929447346935,30.031142857142854,595.0,0.7895348837209303
M_Polyglottos__JU30_06_0,2006-06-14,11.688888888888888,7.173913043478261,45,June,33.95372189920145,30.765869565217393,596.0,0.6217494089834515
M_Polyglottos__JU30_06_0,2006-06-15,9.272727272727273,6.357142857142857,55,June,36.01095584242258,33.70035714285714,573.0,0.5937136204889406
M_Polyglottos__JU30_06_0,2006-06-16,21.4,7.580645161290323,30,June,35.8789102738616,33.02677419354839,562.0,0.7491248541423571
M_Polyglottos__JU30_06_0,2006-06-17,25.346153846153847,6.777777777777778,26,June,36.18681454724211,33.84185185185185,559.0,0.7845238095238095
M_Polyglottos__JU30_06_0,2006-06-18,,,0,June,,,596.0,0.0
M_polyglottos_ALS_Police_Bands,2006-06-28,14.741935483870968,11.90625,31,June,36.055243210315425,30.5625,606.0,0.5552855407047388
M_polyglottos_ALS_Police_Bands,2006-06-29,,,0,June,,,560.0,0.0
M_Polyglottos_ALS101_06,2006-07-01,23.076923076923077,9.148148148148149,26,July,35.26962241874823,33.27814814814815,570.0,0.7202881152460985
M_Polyglottos_ALS101_06,2006-07-02,28.36842105263158,10.8,19,July,34.511425483872856,32.0055,602.0,0.7403846153846154
M_Polyglottos_ALS101_06,2006-07-03,27.227272727272727,10.73913043478261,22,July,35.337366074939844,32.90782608695652,695.0,0.7216867469879518
M_Polyglottos_ALS101_06,2006-07-04,26.227272727272727,11.347826086956522,22,July,35.566727424980485,33.146521739130435,576.0,0.7053789731051344
M_Polyglottos_ALS101_06,2006-07-05,42.333333333333336,14.0,15,July,35.029160130810816,32.015625,606.0,0.7514792899408284
M_Polyglottos_ALS101_06,2006-07-06,23.5,13.083333333333334,8,July,34.55315170480131,29.930833333333336,269.0,0.22541966426858512
