Nest_ID,Día,Month_Nest,Pro_On,Pro_Off,Pro_Nocturnal,N_On,Temp_On,Temp_Off,Ambient_On,Ambient_Off,Ambient_Daily,Rainfall_sum,RH_avg,Soil_avg,Temp60_avg,Temp2m_avg,Temp10m_avg,Dew_avg,First_Off_Time,Last_Off_End,Nocturnal_Start,First_Off_Time_Hour,Last_Off_End_Hour,Nocturnal_Start_Hour,Attenct_On
M_Polyglottos_GL57_06,2006-05-17,May,19.464285714285715,10.068965517241379,301.4916666666667,28.0,32.078194042338886,25.45586206896552,25.46228582864764,25.119312781088645,25.035058758099602,0.0,46.63735063682355,22.92803313057346,23.369046044213487,22.370876788913197,22.51006712730568,9.483782259493319,2006-05-17 06:47:00,2006-05-17 20:44:00,2006-05-17 20:44:00,6.783333333333333,20.733333333333334,20.733333333333334,0.3784766027384576
M_Polyglottos_GL57_06,2006-05-18,May,20.68,12.153846153846153,303.4916666666667,25.0,32.71726929306917,26.759230769230776,27.544765983958392,27.255980011277984,27.124136347530047,0.0,43.03718278438849,23.752319001599748,25.63279159818554,24.53726086384856,24.507664124646663,10.409907654548267,2006-05-18 06:47:00,2006-05-18 20:40:00,2006-05-18 20:40:00,6.783333333333333,20.666666666666668,20.666666666666668,0.35903193323996807
M_Polyglottos_GL57_06,2006-05-19,May,14.290322580645162,11.71875,310.9916666666667,31.0,33.49574529431558,29.223750000000003,30.026163071458647,29.81662057464683,29.673474389140438,0.0,49.71077063961679,24.47752803606652,28.1526060862215,27.30029923922234,27.427128768667252,15.260680473372801,2006-05-19 07:01:00,2006-05-19 20:39:00,2006-05-19 20:39:00,7.016666666666667,20.65,20.65,0.3076424495653885
M_Polyglottos_GL57_06,2006-05-20,May,40.833333333333336,10.421052631578947,253.49166666666667,18.0,32.27711947687041,27.486315789473686,27.86897539898296,27.459121025903922,27.400035439629008,0.0,59.2834759639556,24.441898905518837,26.783052287581715,25.9735625942685,26.14814112232667,16.626714042619042,2006-05-20 06:25:00,2006-05-20 21:58:00,2006-05-20 21:58:00,6.416666666666667,21.966666666666665,21.966666666666665,0.5104225743353511
M_Polyglottos_GL57_06,2006-05-21,May,40.25,13.625,291.9916666666667,16.0,30.304300631172993,25.795625,26.34735540319258,25.966883887405487,25.983158033153885,0.0,63.07518250654334,24.820610235893028,25.462624975046598,24.605840181660923,24.89740254303081,15.654780964421986,2006-05-21 06:26:00,2006-05-21 20:42:00,2006-05-21 20:42:00,6.433333333333334,20.7,20.7,0.44722739846526
M_Polyglottos_GL57_06,2006-05-22,May,,,376.0,0.0,,,,,23.923513043478263,0.0,82.41717948717948,25.591538461538487,18.239230769230797,18.81000000000002,20.35128205128208,15.475641025641048,,,,,,,0.0
M_Polyglottos_GL97_06_AR_YBL,2006-06-13,June,,,178.98333333333332,0.0,,,,,24.368658536585368,0.0098425196850393,89.01842105263157,24.246052631578976,23.41736842105265,23.077631578947393,23.61157894736844,21.682894736842126,,,2006-06-13 21:01:00,,,21.016666666666666,0.0
M_Polyglottos_GL97_06_AR_YBL,2006-06-14,June,17.25,9.212121212121213,291.9916666666667,32.0,31.93720888141643,29.262727272727275,27.603205235114675,27.503778108255382,27.47386282326163,0.0098425196850393,70.91529443819311,26.120340438631903,28.556044493039806,27.64466950453991,27.770839755702312,21.804731923596833,2006-06-14 06:34:00,2006-06-14 20:50:00,2006-06-14 20:50:00,6.566666666666666,20.833333333333332,20.833333333333332,0.38333777011308
M_Polyglottos_GL97_06_AR_YBL,2006-06-15,June,19.03448275862069,10.766666666666667,282.4916666666667,29.0,33.17253322181155,30.572333333333333,30.245878165745996,30.218783104259575,30.07669748474514,0.0,65.2115073333106,27.564753473524,29.76642786544428,28.766203776285767,28.952689240312214,21.283094418504273,2006-06-15 06:10:00,2006-06-15 20:45:00,2006-06-15 20:45:00,6.166666666666667,20.75,20.75,0.38333777011308
M_Polyglottos_GL97_06_AR_YBL,2006-06-16,June,21.12,13.23076923076923,283.9916666666667,25.0,33.202040548076255,30.505,29.731395266979206,29.596694880580507,29.495233330582348,0.0,60.51839177042753,28.38932230794696,28.32547526290329,27.446725485702665,27.71837171848346,18.68232309729333,2006-06-16 06:21:00,2006-06-16 20:53:00,2006-06-16 20:53:00,6.35,20.883333333333333,20.883333333333333,0.3666709105429461
M_Polyglottos_GL97_06_AR_YBL,2006-06-17,June,19.72,14.307692307692308,287.4916666666667,25.0,34.11030244140215,31.273461538461536,29.934923922003723,29.780101116139825,29.639577875906074,0.0,53.904066534260174,27.8600413770275,27.733859649122824,26.67916583912614,26.860254882489265,15.917582754054976,2006-06-17 06:22:00,2006-06-17 20:47:00,2006-06-17 20:47:00,6.366666666666666,20.783333333333335,20.783333333333335,0.34236507366983415
M_Polyglottos_GL97_06_AR_YBL,2006-06-18,June,23.333333333333332,12.0,289.9916666666667,24.0,33.18184776299321,30.1152,26.997982978841332,26.83783633902046,26.79420646423674,0.0397637795275589,69.41274258778903,27.00202588811724,25.24443754125644,24.433053765840164,24.69919139727965,18.221652953262883,2006-06-18 06:27:00,2006-06-18 20:47:00,2006-06-18 20:47:00,6.45,20.783333333333335,20.783333333333335,0.38889338996979134
